Namn på organisation,Org nr organisation,Postort organisation,Lagstöd verksamhet,Status tillsynsobjekt,Lag verksamhetsinnehåll,Lagrum verksamhetsinnehåll,Typ av boende verksamhetsinnehåll
Agneta Assistans AB,556796-0256,TULLINGE,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Ågrenska AB (svb),556436-2217,HOVÅS,Tillståndspliktig,Aktiv,LSS,"Korttidsvistelse utanför hemmet, LSS 9.6 p",
Ågrenska AB (svb),556436-2217,HOVÅS,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Ågrenska AB (svb),556436-2217,HOVÅS,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Agri Omsorg AB,556832-8743,Kisa,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Agri Omsorg AB,556832-8743,Kisa,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Agri Omsorg AB,556832-8743,Kisa,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Agri Omsorg AB,556832-8743,Kisa,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Agustagården AB,559007-6823,Karlstad,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Agustagården AB,559007-6823,Karlstad,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
AIS Ledsagarservice AB,559098-4521,HÄGERSTEN,Tillståndspliktig,Aktiv,LSS,"Ledsagarservice, LSS 9.3 p",
AIS Ledsagarservice AB,559098-4521,HÄGERSTEN,Tillståndspliktig,Aktiv,LSS,"Avlösarservice i hemmet, LSS 9.5 p",
AkademCare AB,556839-5213,Solna,Tillståndspliktig,Aktiv,LSS,"Ledsagarservice, LSS 9.3 p",
Åke Fredholm AB,556692-6886,GÖTEBORG,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Akedo Omsorg AB,556781-2952,Sollentuna,Tillståndspliktig,Aktiv,LSS,"Avlösarservice i hemmet, LSS 9.5 p",
Akedo Omsorg AB,556781-2952,Sollentuna,Tillståndspliktig,Aktiv,LSS,"Ledsagarservice, LSS 9.3 p",
Akedo Omsorg AB,556781-2952,Sollentuna,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
AKQA AB,556835-0093,ÄLVSJÖ,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
AKQA AB,556835-0093,ÄLVSJÖ,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Akria Personlig Assistans AB,559218-6521,NORRKÖPING,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
"Aktiebolaget Bergslagsgårdens Sjuk- och
 behandlingshem",556141-5760,ÄNGELSBERG,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Aktiebolaget Citronen,556542-7662,JÄRNA,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Aktiebolaget Citronen,556542-7662,JÄRNA,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Aktiebolaget Citronen,556542-7662,JÄRNA,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Aktiebolaget Hatten,556471-9820,ÄLVSJÖ,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Aktiebolaget Webett,556563-3038,KUNGSÄNGEN,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Aktiv Assistans Norr AB,556679-3427,UMEÅ,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Aktiv Omsorg i Piteå AB,556630-2047,PITEÅ,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
AktivEra Stockholm AB,556648-4589,Nacka,Tillståndspliktig,Aktiv,LSS,"Korttidsvistelse utanför hemmet, LSS 9.6 p",
AktivEra Stockholm AB,556648-4589,Nacka,Tillståndspliktig,Aktiv,LSS,"Korttidsvistelse utanför hemmet, LSS 9.6 p",
"Aktivitetshuset Lågan
 Ekonomisk förening",769639-3417,HÖKERUM,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
aktivt liv i sverige AB,559010-9418,SKÖVDE,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Aktivt stöd Uppland AB,556911-7434,ALUNDA,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Aktuell Assistans Sverige,620616-3955,Malmö,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Alba Aktiebolag,556551-7579,Uppsala,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Albagården AB,559051-2728,LUND,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Albagården AB,559051-2728,LUND,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
"Albatross Personlig Assistans
 AB",556819-5878,LUND,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Albeda AB,556737-4490,LÖDDEKÖPINGE,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Aldrig Ensam AB,559017-8603,VÄRING,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
ALE assistans AB,559001-9419,LUND,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
ALE Omsorg AB,559034-9915,GÖTEBORG,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Alea Assistans AB,559024-6376,STOCKHOLM,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Aleforsstiftelsen,857205-3240,Alingsås,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Alen Omsorg AB,559282-6522,UMEÅ,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Aleris Rehab Station Stockholm AB,556284-9421,STOCKHOLM,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Aleris Sjukvård AB,556068-8425,STOCKHOLM,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Alerta Omsorg AB,556627-4048,Nacka,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Aleva Assistans AB,559199-3562,UMEÅ,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Alevia Group AB,559306-4040,SEGELTORP,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Alex Assistans AB,559292-7973,Lerum,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Alexandra assistans AB,556894-5124,SÖDERTÄLJE,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
AlexO Omsorg AB,559100-7744,EKSJÖ,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Alfa Rehabilitering Aktiebolag,556274-9951,ÖJEBYN,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
ALFEMA Care AB,556768-1159,VÄSTERÅS,Tillståndspliktig,Aktiv,LSS,"Ledsagarservice, LSS 9.3 p",
ALFEMA Care AB,556768-1159,VÄSTERÅS,Tillståndspliktig,Aktiv,LSS,"Avlösarservice i hemmet, LSS 9.5 p",
ALFEMA Care AB,556768-1159,VÄSTERÅS,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Alfridas AB,556666-8264,BROMMA,Tillståndspliktig,Aktiv,LSS,"Korttidsvistelse utanför hemmet, LSS 9.6 p",
Alfridas AB,556666-8264,BROMMA,Tillståndspliktig,Aktiv,LSS,"Korttidsvistelse utanför hemmet, LSS 9.6 p",
Alfridas AB,556666-8264,BROMMA,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Alfridas AB,556666-8264,BROMMA,Tillståndspliktig,Aktiv,LSS,"Korttidsvistelse utanför hemmet, LSS 9.6 p",
Alfridas AB,556666-8264,BROMMA,Tillståndspliktig,Aktiv,LSS,"Korttidsvistelse utanför hemmet, LSS 9.6 p",
Aliba Care AB,559009-8819,Nacka,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Aliento HVB AB,559046-4524,STORA MELLÖSA,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Aliva Familjehem AB,559093-3270,Halmstad,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Allas Trygghet Sverige AB,559081-0080,TYRINGE,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Allians Assistans AB,556681-3464,Enskede,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Allians Assistans AB,556681-3464,Enskede,Tillståndspliktig,Aktiv,LSS,"Avlösarservice i hemmet, LSS 9.5 p",
Allians Assistans AB,556681-3464,Enskede,Tillståndspliktig,Aktiv,LSS,"Ledsagarservice, LSS 9.3 p",
Allviken vård AB,556924-3362,Uppsala,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",Stödboende
Allviken vård AB,556924-3362,Uppsala,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Alma assistans AB,556791-9062,Helsingborg,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Almaröd Friskola AB,556609-6227,Skurup,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Almaröd Friskola AB,556609-6227,Skurup,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
"Almén personlig
 assistansverksamhet AB",556811-8573,Åkersberga,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Alnäset Medicinska AB,556512-9250,SKÅ,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
ALOIS assistans AB,556848-5782,SÖLVESBORG,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Alpklyftan AB,556511-6372,GÖTEBORG,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Alpklyftan AB,556511-6372,GÖTEBORG,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Alpklyftan AB,556511-6372,GÖTEBORG,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Alpklyftan AB,556511-6372,GÖTEBORG,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Alter Assistans AB,559207-3000,PITEÅ,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Alternatus HVB Villan AB,556560-4153,Uppsala,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Alvida AB,559184-3403,STOCKHOLM,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Älvsborgs Assistans AB,559381-8213,Svenljunga,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
"Älvsborgs assistans
 handelsbolag",969788-4402,Svenljunga,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
"Älvstorps Vårdhem
 Aktiebolag",556188-6218,NORA,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Amalia Omsorg AB,559370-0908,Uppsala,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Aman Care AB,556658-0931,SPÅNGA,Tillståndspliktig,Aktiv,LSS,"Avlösarservice i hemmet, LSS 9.5 p",
Aman Care AB,556658-0931,SPÅNGA,Tillståndspliktig,Aktiv,LSS,"Ledsagarservice, LSS 9.3 p",
Aman Care AB,556658-0931,SPÅNGA,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Amandas Omsorg AB,559056-9637,STOCKHOLM,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
AMBASS AB,556543-0252,DANDERYD,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
AMBASS AB,556543-0252,DANDERYD,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Amez Socialatjänster AB,559003-1059,SALTSJÖBADEN,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
aMHigo AB,559014-1197,BODEN,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
aMHigo AB,559014-1197,BODEN,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
aMHigo Utredningshem AB,559102-3352,BODEN,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Amicare AB,556871-6004,STOCKHOLM,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Amicare AB,556871-6004,STOCKHOLM,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Amiranda AB,556667-0005,SKÖVDE,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Amiranda AB,556667-0005,SKÖVDE,Tillståndspliktig,Aktiv,LSS,"Korttidstillsyn för skolungdom över 12 år, LSS 9.7 p",
Amiranda AB,556667-0005,SKÖVDE,Tillståndspliktig,Aktiv,LSS,"Korttidsvistelse utanför hemmet, LSS 9.6 p",
Amplius Omsorg AB,559230-4769,Karlskrona,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Amplius Omsorg AB,559230-4769,Karlskrona,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
"Amvons Musik
 Kommanditbolag",969692-2872,SKÄRHOLMEN,Tillståndspliktig,Aktiv,LSS,"Korttidstillsyn för skolungdom över 12 år, LSS 9.7 p",
Anderberg Assistans FoU AB,556927-8848,LYCKEBY,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Andersson-Piltz AB,556916-1127,BILLDAL,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Andersson-Piltz AB,556916-1127,BILLDAL,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",Stödboende
Andreas Ljunggren,630416-3238,Visby,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",Stödboende
Anel Konsult AB,559142-0095,VÄXJÖ,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Anero REAF AB,559041-0204,STOCKHOLM,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Anero REAF AB,559041-0204,STOCKHOLM,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
"Anette & Thomas Assistans
 AB",556803-6494,MOHEDA,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Anette Lönnberg,640916-1061,RIMBO,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Ängebo Familjevård Öland AB,556459-9917,Borgholm,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Änglagården Omsorg AB,556706-0826,VALLA,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Änglagården Omsorg AB,556706-0826,VALLA,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Änglavis AB,556788-0850,NORRKÖPING,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Animo assistans AB,556818-9137,MALMÖ,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Anita Myrkvist (enskild firma),420212-5961,LIDHULT,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Anja Assistans AB,556796-3342,Lerum,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
"Anja och Dennis Hemservice
 AB",556845-1644,Farsta,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
"Anja och Dennis Hemservice
 AB",556845-1644,Farsta,Tillståndspliktig,Aktiv,LSS,"Ledsagarservice, LSS 9.3 p",
AnJa Omsorg och Teknik AB,559164-3530,ORREFORS,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Ann Assistans,580822-3506,Helsingborg,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
"Anna & Linus Jour och
 Familjehem AB",556905-9669,TULLINGE,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Anna Dahlöf AB,559074-6524,MÖLNLYCKE,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Anna-Karin Falk,390712-6100,Fjälkinge,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Annalunda AB,556788-9216,TÄBY,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Annebergs Gård Grön Omsorg AB,556915-4742,VÄRNAMO,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Anovia Assistans AB,556881-7976,BROMMA,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Ansgarskolorna AB,556583-5146,Uppsala,Tillståndspliktig,Aktiv,LSS,"Korttidstillsyn för skolungdom över 12 år, LSS 9.7 p",
"Ansvarsfull omsorg i Sverige
 AB",556441-3598,JÄRFÄLLA,Tillståndspliktig,Aktiv,LSS,"Avlösarservice i hemmet, LSS 9.5 p",
"Ansvarsfull omsorg i Sverige
 AB",556441-3598,JÄRFÄLLA,Tillståndspliktig,Aktiv,LSS,"Ledsagarservice, LSS 9.3 p",
"Ansvarsfull omsorg i Sverige
 AB",556441-3598,JÄRFÄLLA,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Anton HVB AB,559117-3223,Kristianstad,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Anton HVB AB,559117-3223,Kristianstad,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Anton HVB AB,559117-3223,Kristianstad,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",Stödboende
Anwic Bemanning,750524-6392,Norsborg,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
AO Assistans AB,556908-8148,TROLLHÄTTAN,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
AP Omvårdnadsgruppen AB,559081-3043,LINKÖPING,Tillståndspliktig,Aktiv,LSS,"Ledsagarservice, LSS 9.3 p",
AP Omvårdnadsgruppen AB,559081-3043,LINKÖPING,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
AP Omvårdnadsgruppen AB,559081-3043,LINKÖPING,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
AP Omvårdnadsgruppen AB,559081-3043,LINKÖPING,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
AP Omvårdnadsgruppen AB,559081-3043,LINKÖPING,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Apelgårdens HVB i Blekinge AB,556622-7939,NÄTTRABY,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
"Apelgårdens HVB i Blekinge
 AB",556622-7939,NÄTTRABY,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
"Apelgårdens HVB i Blekinge
 AB",556622-7939,NÄTTRABY,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
"Apelgårdens HVB i Blekinge
 AB",556622-7939,NÄTTRABY,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
"Apelgårdens HVB i Blekinge
 AB",556622-7939,NÄTTRABY,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Apona AB,556674-3513,LIDINGÖ,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
"Apoteksgårdens Kognitiva
 Center AB",556872-4586,KOPPARBERG,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
"Äppelbo Assistans Ekonomisk
 förening",769621-5495,ÄPPELBO,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Aqtio AB,559195-4408,SÖDERTÄLJE,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Aqtio AB,559195-4408,SÖDERTÄLJE,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
AR Aleta AB,559044-7578,Sundbyberg,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
ARABO familjebehandling Ekonomisk förening,769603-2577,VÄXJÖ,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Aramia Omsorg Aktiebolag,556748-5726,SKÖVDE,Tillståndspliktig,Inhibition beviljad,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Aramia Omsorg Aktiebolag,556748-5726,SKÖVDE,Tillståndspliktig,Inhibition beviljad,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
"Arbetsterapeut assistans i
 norr",731001-8982,Luleå,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Arena Familj Aktiebolag,556904-7607,ÖREBRO,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Arendala HVB AB,559388-4405,MALMÖ,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Areso Vård och Omsorg AB,559045-0564,HOVÅS,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Areso Vård och Omsorg AB,559045-0564,HOVÅS,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Arlövsgårdens HVB AB,556944-4556,Lomma,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Aros Omsorg Aktiebolag,556738-2956,VÄLLINGBY,Tillståndspliktig,Inhibition beviljad,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Aros Omsorg Aktiebolag,556738-2956,VÄLLINGBY,Tillståndspliktig,Inhibition beviljad,LSS,"Avlösarservice i hemmet, LSS 9.5 p",
Aros Omsorg Aktiebolag,556738-2956,VÄLLINGBY,Tillståndspliktig,Inhibition beviljad,LSS,"Ledsagarservice, LSS 9.3 p",
Ars Amandi Assistans AB,556807-6797,Katrineholm,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Arshin Care AB,556838-3607,TÄBY,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
